Year,ID,Please indicate your graduation status.,Please provide your year of enrollment (graduation year for graduates),Are you currently employed?,Are you pursuing a major other than Library and Information Science(LIS)?,Did you have a career goal when you entered school?,What is your intended career path at the time of admission?,Do you currently have a career goal?,What career path do you intend to pursue currently?,Why aren't you currently pursuing a career path?,"If your career aspirations have changed since you entered school, what prompted the change?",What influenced your career aspirations then and now?,What are your usual career concerns?,How do you usually approach concerns regarding your career?,What are your favorite topics in the library and information science curriculum?,Describe any supplementary courses you'd wish to be introduced within the Department of LIS,What are the benefits of a multidisciplinary major?,What are the disadvantages of a multidisciplinary major?,Do you believe that obtaining a multidisciplinary major will enhance your employment prospects?,Did you choose a multidisciplinary major during your undergraduate program?,What multidisciplinary major have you chosen?,"If you've designed your own major(self-design major) or pursued multiple majors, please provide a list of all the majors included in your program.",What influenced your decision to pursue this multidisciplinary major?,What are some of the challenges and issues you faced while completing a multidisciplinary program?,What influenced your choice to not complete a multidisciplinary major?,How do you usually get information about employment?,Did you feel that information within the department was adequately shared about employment opportunities (when you were an undergraduate student),What is your preferred method of sharing information about employment within your department?,What career enrichment programs do you think are needed in the LIS?,What career-related programs do you think are needed in the LIS?,Please write any desired career-related programs in LIS that were not mentioned in the above options.,How do you think we should communicate with undergraduate students and alumni?,What career paths do you think are available to a LIS major?,Please write any possible career paths for LIS majors that aren't mentioned in the above options.,What field of work are you currently in or aiming for?,What type of library do you work in or want to work in?,What is your desired/current specific occupation?,What is your desired/current job area?,Please write in any additional desired or current career field.,What annual salary range are you hoping for or currently earning?,How long do you expect/did it take to become prepared for employment?,Are you currently taking any steps to prepare for your desired career path and future employment?,What specific activities or preparations are you currently undertaking/did you previously engage in to position yourself for your desired career path?,What has stopped you from pursuing your desired career path?,What was the toughest hurdle you faced while getting prepared for your job/career field?,What is the most important value for you when choosing a career path after getting a job?,What is your second most important value when choosing a career path?,What is your third most important value when choosing a career path?,Did your work values change after starting your job/career?,What has become the most important factor for you when considering career paths after gaining work experience?,What has become the second most important factor for you when considering career paths after gaining work experience?,What has become the third most important factor for you when considering career paths after gaining work experience?,How satisfied are you with your current job?,Would you recommend your current workplace to undergraduate students in the LIS?,"Are you considering going to graduate school, or have you already attended?",Which graduate school do you want to attend or have you attended?,"When do you plan to start graduate school, or when did you actually start your studies?",What is the purpose of attending graduate school?,What were some of the challenges you faced while getting ready for graduate school?,Why haven't you thought about attending graduate school?,Do you plan to go to graduate school in the future?,What graduate school are you interested in attending in the future?
2022,20220112,Undergraduate students,2019,N/A,No,Yes,Librarians;Teacher librarians;Private enterprise;Public enterprise;Government employees (except librarians),Yes,Private enterprise;Public enterprise,N/A,Identify new aptitudes/interests;Other,Classes in the Department of Library and Information Science;Other major classes;Conferences/Small Groups;Extracurricular activity;Explore career-related information,No place to get career information,Do an internet search;other,Classification and cataloging,N/R,Interdisciplinary opportunities;Expand your career options,Credit burden;Weakened expertise,N/Q,No,N/A,N/A,N/A,N/A,No interest or need for a multidisciplinary major;Other,"Private recruitment sites (e.g. Job Korea, Saramin, etc.)",Neither agree nor disagree,LIS official Instagram;LIS website,Institutional/Academic/Employment Linkage Programs (Practicum/Internship),Career Exploration Program,N/R,"LIS group chatting;Meet with current students/alumni non-face-to-face (ZOOM, etc.)",Librarians;Teacher librarians;Publishing;Archivist;Universities(Professor or Staff);Data specialist;Journalist;Private enterprise;Public enterprise;Government employees (except librarians),N/R,Private enterprise,N/A,Management/Office;Other,N/A,N/A,Over 35 million won and under 40 million won,Within 1 year,Yes,Grades;Earn certifications;Language preparation;Extracurricular activities (clubs/sororities/societies/studies/etc.);External activities (supporters/societies/clubs/studies/etc.),N/A,N/A,Work-Life balance,Salary,Aptitude and interest,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Other,N/A,N/A
2022,20220113,Undergraduate students,2018,N/A,No,Yes,Librarians;Archivist;Data specialist,Yes,Librarians;Publishing;Data specialist;Private enterprise;Government employees (except librarians),N/A,Recognize realistic limitations;Identify new aptitudes/interests,Classes in the Department of Library and Information Science;Part-time job;Explore career-related information;Upper classmen,"I don't know what I'm interested in;No place to get career information;I'm thinking about a career, but I don't have a clear direction",Discuss with friends;Talk to your seniors;Do an internet search;Browse in Everytime;Keep to yourself,Information Science,N/R,Interdisciplinary opportunities,Credit burden;Workload burden;Time burden (possible extra semester),N/Q,Yes,Multi major-Department of Applied Statistics,N/A,To broaden your job search,Lack of information;Burden of amount of studies;Burden of contents of studies;Difficulty signing up for a course;Difficulty organizing timetables,N/A,"Internet portal sites (e.g. Google, Naver, etc.)",Neither agree nor disagree,LIS official Instagram;LIS website;LIS group chatting,Mentoring from department seniors and incumbents;Institutional/Academic/Employment Linkage Programs (Practicum/Internship),Career-related roadmaps;Career Exploration Program,N/R,LIS group chatting;Everytime(student online community),Librarians;Teacher librarians;Archivist;Data specialist;Private enterprise;Public enterprise;Government employees (except librarians),N/R,Librarians,National libraries;University libraries,N/A,N/A,N/A,Over 25 million won and under 30 million won,2 years,No,N/A,"I have a career path in mind, but I'm not sure what I want to do.;Other",N/Q,Aptitude and interest,Job security,Salary,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2022,20220114,Undergraduate students,2020,N/A,No,Yes,Librarians,No,N/A,You don't know what you're good at yet;You don't know what you like yet,Recognize realistic limitations;Losing interest in academic-related jobs,Other,I don't know what I'm interested in,Discuss with friends;Talk to your seniors;Keep to yourself,Information Science,N/R,Interdisciplinary opportunities;Expand your career options,Credit burden;Workload burden;Time burden (possible extra semester),N/Q,Yes,Multi major-School of Business Administration,N/A,Related to my interests and aptitudes;To broaden your job search;Don't want to choose an advanced majors,Burden of amount of studies;Burden of contents of studies;Difficulty signing up for a course;Difficulty organizing timetables,N/A,The University's Career Center (e.g. Rainbow System),Neither agree nor disagree,Regular meetings between alumni and current students,Conferences/Studies;Institutional/Academic/Employment Linkage Programs (Practicum/Internship),Career-related roadmaps,N/R,Meet with current students/alumni face-to-face;LIS website,Librarians;Teacher librarians;Publishing;Archivist;Universities(Professor or Staff);Data specialist;Developers (programmers);Journalist;Private enterprise;Public enterprise;Government employees (except librarians);Law school,N/R,Librarians,Public libraries,N/A,N/A,N/A,Over 55 million won,1 year,Yes,Grades;Extracurricular activities (clubs/sororities/societies/studies/etc.),N/A,N/A,Salary,Aptitude and interest,Job security,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2022,20220115,Undergraduate students,2018,N/A,No,Yes,Librarians;Teacher librarians;Government employees (except librarians),Yes,Librarians;Archivist;Government employees (except librarians),N/A,Your desired career path is not different at either time,Desired career path is not different at either time,"No place to get career information;I'm thinking about a career, but I don't have a clear direction",Do an internet search;Keep to yourself,Classification and cataloging,N/R,Interdisciplinary opportunities,Credit burden;Workload burden;Time burden (possible extra semester),N/Q,No,N/A,N/A,N/A,N/A,Concerned about running out of time to complete a multidisciplinary major,"Internet portal sites (e.g. Google, Naver, etc.)",Strongly disagree,LIS website;Mail (sharing job information via personal email),Talk/meet with a professor;Institutional/Academic/Employment Linkage Programs (Practicum/Internship);Job fairs and career consulting;Personnel guest lectures,Career-related roadmaps;Roadmap for taking courses;Career Exploration Program,N/R,LIS group chatting;LIS website,Librarians;Teacher librarians;Archivist;Universities(Professor or Staff);Government employees (except librarians),N/R,Librarians,National libraries;Public libraries;Small libraries,N/A,N/A,N/A,Over 25 million won and under 30 million won,1 year,No,N/A,"I have a career path in mind, but I'm not sure what I want to do.",N/Q,Aptitude and interest,Self-realization,Work-Life balance,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2022,20220116,Undergraduate students,2019,N/A,No,Yes,Librarians;Publishing;Government employees (except librarians),Yes,Librarians;Publishing;Public enterprise;Government employees (except librarians),N/A,Your desired career path is not different at either time,Desired career path is not different at either time,No worries,Keep to yourself;other,Library management,N/R,Interdisciplinary opportunities;Expand your career options,Workload burden;Time burden (possible extra semester),N/Q,No,N/A,N/A,N/A,N/A,Didn't have the opportunity due to the high grades cutoff for your desired multidisciplinary major,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Internet portal sites (e.g. Google, Naver, etc.)",Strongly disagree,LIS group chatting,Mentoring from department seniors and incumbents;Institutional/Academic/Employment Linkage Programs (Practicum/Internship),Career-related roadmaps;Career Exploration Program,N/R,LIS group chatting;Meet with current students/alumni face-to-face,Librarians;Teacher librarians;Publishing;Archivist;Universities(Professor or Staff);Data specialist;Developers (programmers);Journalist;Private enterprise;Public enterprise;Government employees (except librarians),N/R,Librarians,Public libraries,N/A,N/A,N/A,Over 25 million won and under 30 million won,Within 1 year,Yes,Grades;Earn certifications;Language preparation;Practical exercise/Internship,N/A,N/A,Work-Life balance,Job security,Aptitude and interest,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,High tuition fees,N/A,N/A
2022,20220117,Undergraduate students,2017,N/A,No,Yes,Librarians;Teacher librarians,No,N/A,Lack of values about the direction of your personal life;Lack of information about possible career paths for LIS majors;You don't know what you're good at yet,Recognize realistic limitations,Classes in the Department of Library and Information Science;Conferences/Small Groups;Club activity,"I don't know what I'm interested in;No place to get career information;I'm thinking about a career, but I don't have a clear direction",Do an internet search;Keep to yourself;Do nothing,Bibliography,N/R,Interdisciplinary opportunities;Expand your career options,Credit burden;Workload burden;Time burden (possible extra semester),N/Q,Yes,Multi major-Department of Korean Language and Literature,N/A,"Related to my interests and aptitudes;To broaden your job search;Compromise with reality (low grades/insufficient time, etc.);Don't want to choose an advanced majors",Lack of information;Burden of amount of studies;Difficulty signing up for a course;Difficulty organizing timetables,N/A,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Government job sites (e.g. WorkNet, WorldJob, etc.);Internet portal sites (e.g. Google, Naver, etc.)",Disagree,LIS website;Mail (sharing job information via personal email);LIS group chatting,Talk/meet with a professor;Institutional/Academic/Employment Linkage Programs (Practicum/Internship);Job fairs and career consulting,Career-related roadmaps;Career Exploration Program,N/R,LIS group chatting;LIS website,Librarians;Teacher librarians;Publishing;Data specialist;Developers (programmers),N/R,Librarians,National libraries;Public libraries,N/A,N/A,N/A,Over 20 million won and under 25 million won,3 years,No,N/A,I don't have a set career path.;I thought it was too early to prepare,N/Q,Self-realization,Organizational culture,Aptitude and interest,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research;Dissatisfaction with graduate education,N/A,N/A
2022,20220118,Undergraduate students,2019,N/A,No,Yes,Librarians;Universities(Professor or Staff),Yes,Developers (programmers);Private enterprise,N/A,Recognize realistic limitations;Identify new aptitudes/interests;Losing interest in academic-related jobs,Classes in the Department of Library and Information Science;Upper classmen;Friends,"I'm thinking about a career, but I don't have a clear direction;Other",Discuss with friends;Do an internet search;Keep to yourself,Information Science,N/R,Interdisciplinary opportunities;Expand your career options,Credit burden;Workload burden;Time burden (possible extra semester),N/Q,Yes,Multi major-College of Software,N/A,Related to my interests and aptitudes;To fulfill career requirements;To broaden your job search,Burden of amount of studies;Burden of contents of studies;Difficulty signing up for a course;Difficulty organizing timetables,N/A,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Government job sites (e.g. WorkNet, WorldJob, etc.);Internet portal sites (e.g. Google, Naver, etc.)",Disagree,LIS official Instagram;LIS group chatting,Talk/meet with a professor;Institutional/Academic/Employment Linkage Programs (Practicum/Internship);Job fairs and career consulting,Career-related roadmaps,N/R,LIS group chatting;Meet with current students/alumni face-to-face,Librarians;Teacher librarians;Universities(Professor or Staff);Government employees (except librarians),N/R,Librarians,University libraries,N/A,N/A,N/A,Over 45 million won and under 50 million won,1 year,Yes,Grades;Earn certifications;Language preparation;External activities (supporters/societies/clubs/studies/etc.),N/A,N/A,Organizational culture,Job security,Aptitude and interest,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2022,20220119,Undergraduate students,2015,N/A,No,No,N/A,Yes,Government employees (except librarians),N/A,Recognize realistic limitations,Other,I don't know what I'm interested in,Do an internet search,Information Service,N/R,Interdisciplinary opportunities,Time burden (possible extra semester),N/Q,No,N/A,N/A,N/A,N/A,No interest or need for a multidisciplinary major,"Private recruitment sites (e.g. Job Korea, Saramin, etc.)",Neither agree nor disagree,LIS group chatting,Institutional/Academic/Employment Linkage Programs (Practicum/Internship),Career Exploration Program,N/R,LIS group chatting,etc (please answer in the questions below),N/R,Government employees (except librarians),N/A,N/A,Council administrator,N/A,Over 30 million won and under 35 million won,2 years,Yes,Other,N/A,N/A,Job security,Organizational culture,Salary,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2022,20220120,Undergraduate students,2021,N/A,No,Yes,Librarians;Archivist;Universities(Professor or Staff);Data specialist,Yes,Librarians;Archivist;Universities(Professor or Staff);Data specialist,N/A,Your desired career path is not different at either time,Desired career path is not different at either time,No place to get career information,Discuss with friends;Do an internet search,Information Service,N/R,Interdisciplinary opportunities;Expand your career options,Workload burden;Time burden (possible extra semester),N/Q,Yes,Multi major-Department of Applied Statistics,N/A,To expand knowledge of your major,Difficulty organizing timetables,N/A,"Government job sites (e.g. WorkNet, WorldJob, etc.);Internet portal sites (e.g. Google, Naver, etc.)",Disagree,Regular meetings between alumni and current students;Lectures about career,Conferences/Studies;Mentoring from department seniors and incumbents;Talk/meet with a professor;Institutional/Academic/Employment Linkage Programs (Practicum/Internship),Career-related roadmaps;Career Exploration Program,N/R,Meet with current students/alumni face-to-face,Librarians;Archivist;Universities(Professor or Staff);Data specialist,N/R,Librarians,National libraries;University libraries,N/A,N/A,N/A,Over 35 million won and under 40 million won,2 years,Yes,Grades;Earn certifications,N/A,N/A,Aptitude and interest,Salary,Organizational culture,N/A,N/A,N/A,N/A,N/A,N/A,Yes,LIS in same university as undergraduate,Immediately after graduation,Strengthening of expertise,Lack of information about admission,N/A,N/A,N/A
2022,20220121,Undergraduate students,2022,N/A,No,Yes,Librarians,Yes,Librarians,N/A,Your desired career path is not different at either time,Desired career path is not different at either time,No place to get career information,Do an internet search;Keep to yourself,Bibliography,N/R,Interdisciplinary opportunities;Expand your career options,Workload burden;Time burden (possible extra semester);Weakened expertise,N/Q,No,N/A,N/A,N/A,N/A,Concerned about running out of time to complete a multidisciplinary major,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Internet portal sites (e.g. Google, Naver, etc.)",Agree,LIS group chatting;Regular meetings between alumni and current students;Lectures about career,Conferences/Studies;Mentoring from department seniors and incumbents;Talk/meet with a professor;Institutional/Academic/Employment Linkage Programs (Practicum/Internship),Career-related roadmaps;Book recommendations about career;Career Exploration Program,N/R,LIS group chatting;Meet with current students/alumni face-to-face,Librarians;Teacher librarians;Publishing;Archivist;Universities(Professor or Staff);Data specialist;Developers (programmers);Journalist;Private enterprise;Public enterprise;Government employees (except librarians);Law school,N/R,Librarians,National libraries;Public libraries;Small libraries,N/A,N/A,N/A,Over 25 million won and under 30 million won,1 year,No,N/A,"I have a career path in mind, but I'm not sure what I want to do.;Other",N/Q,Job security,Aptitude and interest,Work-Life balance,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Other,N/A,N/A
2022,20220122,Undergraduate students,2021,N/A,No,Yes,Librarians,Yes,Librarians;Publishing,N/A,Recognize realistic limitations,Classes in the Department of Library and Information Science,Other,Do an internet search;Keep to yourself,Information Service,N/R,Interdisciplinary opportunities;Expand your career options,Credit burden;Workload burden;Time burden (possible extra semester),N/Q,No,N/A,N/A,N/A,N/A,No interest or need for a multidisciplinary major,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Internet portal sites (e.g. Google, Naver, etc.)",Disagree,LIS official Instagram;Lectures about career,Institutional/Academic/Employment Linkage Programs (Practicum/Internship),Career-related roadmaps;Roadmap for taking courses;Career Exploration Program,N/R,LIS website;Everytime(student online community),Librarians;Teacher librarians;Publishing;Archivist;Universities(Professor or Staff);Data specialist;Developers (programmers);Journalist;Private enterprise;Public enterprise;Government employees (except librarians);Law school,N/R,Other,N/A,N/A,N/A,Librarians;Private enterprise,Over 35 million won and under 40 million won,Within 1 year,No,N/A,"I have a career path in mind, but I'm not sure what I want to do.;I don't have a set career path.",N/Q,Salary,Aptitude and interest,Self-realization,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2022,20220123,Undergraduate students,2020,N/A,No,No,N/A,Yes,Data specialist;Developers (programmers);Journalist;Private enterprise;Public enterprise;Government employees (except librarians),N/A,Identify new aptitudes/interests,Classes in the Department of Library and Information Science;Other major classes;Conferences/Small Groups;Club activity;Contests/Projects;Upper classmen;Professors,"I'm thinking about a career, but I don't have a clear direction",Talk to your seniors;Keep to yourself,Information Science,Deeper data analysis,Interdisciplinary opportunities,Credit burden;Workload burden,N/Q,Yes,Self-designed major,Self-designed major-Department of Library & Information Science/College of Software/Department of Applied Statistics/Department of Sociology,Related to my interests and aptitudes;To expand knowledge of your major,Lack of information;Difficulty organizing timetables,N/A,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Internet portal sites (e.g. Google, Naver, etc.)",Disagree,LIS website;Regular meetings between alumni and current students;Lectures about career,Conferences/Studies;Institutional/Academic/Employment Linkage Programs (Practicum/Internship);Personnel guest lectures,Career-related roadmaps;Roadmap for taking courses;Book recommendations about career,"There are a lot of different fields that you can go into from our department, but I would like to see more information shared at the departmental level about what to study and what experiences to have, especially for the careers that students are most interested in, and it would be great if that information was recorded on the departmental website instead of being volatile.","Meet with current students/alumni non-face-to-face (ZOOM, etc.);Meet with current students/alumni face-to-face;LIS website",Librarians;Teacher librarians;Publishing;Archivist;Universities(Professor or Staff);Data specialist;Developers (programmers);Journalist;Private enterprise;Public enterprise;Government employees (except librarians);Law school,Everything,Private enterprise,N/A,IT/Internet,N/A,N/A,Over 35 million won and under 40 million won,1 year,Yes,Grades;Practical exercise/Internship;Extracurricular activities (clubs/sororities/societies/studies/etc.),N/A,N/A,Aptitude and interest,Society perception,Salary,N/A,N/A,N/A,N/A,N/A,N/A,Yes,LIS in same university as undergraduate,Immediately after graduation,Self-development;Get ready for work;Strengthening of expertise,Lack of information about admission;Lack of information about the content of the study,N/A,N/A,N/A
2022,20220124,Undergraduate students,2021,N/A,No,Yes,Librarians;Teacher librarians,Yes,Librarians;Teacher librarians,N/A,Your desired career path is not different at either time,Desired career path is not different at either time,No worries,other,Information Science,N/R,Interdisciplinary opportunities,Credit burden;Workload burden;Time burden (possible extra semester),N/Q,No,N/A,N/A,N/A,N/A,Concerned about running out of time to complete a multidisciplinary major;No interest or need for a multidisciplinary major,"Internet portal sites (e.g. Google, Naver, etc.)",Neither agree nor disagree,LIS website;LIS group chatting;Regular meetings between alumni and current students,Conferences/Studies,Career-related roadmaps;Book recommendations about career;Career Exploration Program,N/R,"LIS group chatting;Meet with current students/alumni non-face-to-face (ZOOM, etc.);Meet with current students/alumni face-to-face;LIS website",Librarians;Teacher librarians;Archivist;Universities(Professor or Staff);Data specialist;Private enterprise;Public enterprise,N/R,Librarians,National libraries;Public libraries;Small libraries;University libraries;Other libraries,N/A,N/A,N/A,Over 25 million won and under 30 million won,Within 1 year,Yes,Grades;Earn certifications,N/A,N/A,Work-Life balance,Job security,Organizational culture,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2022,20220125,Undergraduate students,2020,N/A,No,No,N/A,Yes,Librarians;Teacher librarians;Government employees (except librarians),N/A,Your desired career path is not different at either time,Desired career path is not different at either time,"No place to get career information;I'm thinking about a career, but I don't have a clear direction",Discuss with friends;Do an internet search;Keep to yourself,Bibliography,N/R,Interdisciplinary opportunities;Expand your career options,Credit burden;Workload burden;Time burden (possible extra semester),N/Q,No,N/A,N/A,N/A,N/A,Didn't have time to pursue other majors because of a teaching major,"Government job sites (e.g. WorkNet, WorldJob, etc.);Internet portal sites (e.g. Google, Naver, etc.)",Neither agree nor disagree,LIS official Instagram;LIS website;Mail (sharing job information via personal email);Regular meetings between alumni and current students;Lectures about career,Conferences/Studies;Mentoring from department seniors and incumbents;Institutional/Academic/Employment Linkage Programs (Practicum/Internship),Career-related roadmaps,N/R,"LIS group chatting;Meet with current students/alumni non-face-to-face (ZOOM, etc.);Meet with current students/alumni face-to-face",Librarians;Teacher librarians;Archivist;Universities(Professor or Staff);Data specialist;Public enterprise;Government employees (except librarians),N/R,Government employees (except librarians),N/A,N/A,Teacher librarian,N/A,Over 35 million won and under 40 million won,2 years,Yes,Grades;Earn certifications;Volunteer activity,N/A,N/A,Job security,Work-Life balance,Salary,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2022,20220126,Undergraduate students,2021,N/A,No,Yes,Librarians;Teacher librarians;Archivist;Government employees (except librarians),Yes,Data specialist;Private enterprise;Public enterprise,N/A,Recognize realistic limitations;Identify new aptitudes/interests,Classes in the Department of Library and Information Science;Explore career-related information;Professors,"I'm thinking about a career, but I don't have a clear direction",Do an internet search;Browse in Everytime;Keep to yourself,Classification and cataloging,N/R,Expand your career options,Credit burden;Workload burden;Time burden (possible extra semester),N/Q,No,N/A,N/A,N/A,N/A,Didn't have the opportunity due to the high grades cutoff for your desired multidisciplinary major,"Internet portal sites (e.g. Google, Naver, etc.)",Disagree,Lectures about career,Conferences/Studies;Personnel guest lectures,Career-related roadmaps;Roadmap for taking courses,N/R,LIS group chatting;Meet with current students/alumni face-to-face,Librarians;Teacher librarians;Publishing;Archivist;Data specialist;Developers (programmers);Private enterprise;Public enterprise;Government employees (except librarians),N/R,Public enterprise,N/A,Management/Office;IT/Internet,N/A,N/A,Over 35 million won and under 40 million won,Within 1 year,Yes,Grades;Earn certifications;External activities (supporters/societies/clubs/studies/etc.),N/A,N/A,Aptitude and interest,Salary,Work-Life balance,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2022,20220127,Undergraduate students,2017,N/A,No,Yes,Librarians,Yes,Data specialist,N/A,Identify new aptitudes/interests,Classes in the Department of Library and Information Science;Contests/Projects;Professors,"No place to get career information;I'm thinking about a career, but I don't have a clear direction",Ask a professor for a consultation;Do an internet search;Keep to yourself,Information Science,N/R,Interdisciplinary opportunities;Expand your career options,Weakened expertise,N/Q,Yes,Convergence major-Software Humanities,N/A,Related to my interests and aptitudes,Nothing,N/A,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Government job sites (e.g. WorkNet, WorldJob, etc.)",Disagree,LIS group chatting,Talk/meet with a professor;Institutional/Academic/Employment Linkage Programs (Practicum/Internship),Career-related roadmaps,N/R,LIS group chatting,Librarians;Teacher librarians;Publishing;Archivist;Universities(Professor or Staff);Data specialist;Government employees (except librarians),N/R,Private enterprise,N/A,IT/Internet,N/A,N/A,Over 35 million won and under 40 million won,3 years,Yes,Earn certifications;Practical exercise/Internship;External activities (supporters/societies/clubs/studies/etc.),N/A,N/A,Aptitude and interest,Salary,Self-realization,N/A,N/A,N/A,N/A,N/A,N/A,Yes,LIS in same university as undergraduate,Immediately after graduation,Get ready for work;Strengthening of expertise,High tuition fees;Lack of information about admission;Lack of information about the content of the study,N/A,N/A,N/A
2022,20220128,Undergraduate students,2022,N/A,No,Yes,Librarians,Yes,Archivist;Other,N/A,Identify new aptitudes/interests,Part-time job,"I'm thinking about a career, but I don't have a clear direction",Do an internet search,Bibliography,N/R,Interdisciplinary opportunities,Time burden (possible extra semester),N/Q,No,N/A,N/A,N/A,N/A,Other,"Internet portal sites (e.g. Google, Naver, etc.)",Agree,LIS website;Regular meetings between alumni and current students;Lectures about career,Mentoring from department seniors and incumbents;Institutional/Academic/Employment Linkage Programs (Practicum/Internship),Career-related roadmaps;Roadmap for taking courses,N/R,Meet with current students/alumni face-to-face,Librarians;Teacher librarians;Publishing;Archivist;Universities(Professor or Staff);Data specialist;Private enterprise;Public enterprise;Government employees (except librarians),N/R,Other,N/A,N/A,N/A,Reachers,Over 25 million won and under 30 million won,2 years,Yes,Language preparation;Extracurricular activities (clubs/sororities/societies/studies/etc.),N/A,N/A,Aptitude and interest,Salary,Job security,N/A,N/A,N/A,N/A,N/A,N/A,Yes,LIS in same university as undergraduate,Immediately after graduation,Strengthening of expertise,Lack of information about admission,N/A,N/A,N/A
2022,20220129,Undergraduate students,2021,N/A,No,Yes,Librarians;Teacher librarians;Publishing,No,N/A,Lack of values about the direction of your personal life;Lack of information about possible career paths for LIS majors;You don't know what you're good at yet,Recognize realistic limitations,Extracurricular activity;Volunteer activity;Other,"No place to get career information;I'm thinking about a career, but I don't have a clear direction",Do an internet search;Keep to yourself;Do nothing,Library management,N/R,Interdisciplinary opportunities;Expand your career options;Expand your connections,Weakened expertise,N/Q,Yes,Multi major-Department of Psychology,N/A,Other,Other,N/A,"Internet portal sites (e.g. Google, Naver, etc.)",Disagree,LIS official Instagram;LIS group chatting;Regular meetings between alumni and current students,Conferences/Studies;Mentoring from department seniors and incumbents;Talk/meet with a professor;Institutional/Academic/Employment Linkage Programs (Practicum/Internship);Job fairs and career consulting;Personnel guest lectures,Career Exploration Program,N/R,LIS group chatting;Meet with current students/alumni face-to-face;LIS official Instagram,Librarians;Teacher librarians;Publishing;Archivist;Universities(Professor or Staff);Data specialist;Journalist,N/R,Librarians,National libraries;Public libraries;University libraries;Other libraries,N/A,N/A,N/A,Over 35 million won and under 40 million won,3 years,No,N/A,I don't have a set career path.,N/Q,Salary,Aptitude and interest,Job security,N/A,N/A,N/A,N/A,N/A,N/A,Yes,LIS in same university as undergraduate,1 year after graduation but less than 2 years,Get ready for work;Strengthening of expertise,Lack of information about admission;Lack of information about the content of the study;Difficulty contacting professors/labs,N/A,N/A,N/A
2022,20220130,Undergraduate students,2019,N/A,No,No,N/A,Yes,Librarians,N/A,Your desired career path is not different at either time,Desired career path is not different at either time,I don't know what I'm interested in,Do an internet search;Browse in Everytime,Information Science,N/R,Interdisciplinary opportunities;Expand your career options,Workload burden;Time burden (possible extra semester),N/Q,No,N/A,N/A,N/A,N/A,No interest or need for a multidisciplinary major,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Internet portal sites (e.g. Google, Naver, etc.)",Neither agree nor disagree,LIS website;LIS group chatting;Regular meetings between alumni and current students,Conferences/Studies;Mentoring from department seniors and incumbents;Institutional/Academic/Employment Linkage Programs (Practicum/Internship),Career-related roadmaps;Career Exploration Program,N/R,"LIS group chatting;Meet with current students/alumni non-face-to-face (ZOOM, etc.);LIS website",Librarians;Teacher librarians;Government employees (except librarians),N/R,Government employees (except librarians),N/A,N/A,Librarian,N/A,Over 35 million won and under 40 million won,1 year,Yes,Other,N/A,N/A,Work-Life balance,Job security,Salary,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
